job_url,title,company,location,site,date_posted,scraped_at,applied_at,status,resume_path,cover_letter_path,notion_page_id,notes
https://www.glassdoor.ca/job-listing/j?jl=1010046444282,Engineer II - Catalog Platform Engineering (Backend),Lululemon,Vancouver,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.linkedin.com/jobs/view/4377909627,Java Full Stack Developer,Pacer Group,"Calgary, Alberta, Canada",linkedin,,2026-02-27T11:11:10.842694,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Pacer_Group_Java_Full_Stack_Developer_20260227_1118\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Pacer_Group_Java_Full_Stack_Developer_20260227_1118\cover_letter.pdf,,
https://www.linkedin.com/jobs/view/4377906666,Java API Engineer,CLPS Global,"Mississauga, Ontario, Canada",linkedin,,2026-02-27T11:11:10.842694,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\CLPS_Global_Java_API_Engineer_20260227_1119\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\CLPS_Global_Java_API_Engineer_20260227_1119\cover_letter.pdf,,
https://www.glassdoor.ca/job-listing/j?jl=1010046505143,Mechanical Engineer,Fabhr.ca,Ottawa,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Fabhrca_Mechanical_Engineer_20260227_1119\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Fabhrca_Mechanical_Engineer_20260227_1119\cover_letter.pdf,,
https://www.linkedin.com/jobs/view/4378799408,Software developer,Korah,"Markham, Ontario, Canada",linkedin,,2026-02-27T11:11:10.842694,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Korah_Software_developer_20260227_1120\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\Korah_Software_developer_20260227_1120\cover_letter.pdf,,
https://www.glassdoor.ca/job-listing/j?jl=1010047303897,Snowflake Developer,Adastra Corporation,Toronto,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.glassdoor.ca/job-listing/j?jl=1010046534137,PLC Programmer/ Controls Designer,Trited Innovation Inc-ONTARIO,Canada,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.glassdoor.ca/job-listing/j?jl=1010046460985,SAP ABAP Cloud Developer #56666,Intellex Systems Inc.,Toronto,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.glassdoor.ca/job-listing/j?jl=1010046759908,Software Developer- Build and/or Pipelines,Ford Motor Company,Ottawa,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.glassdoor.ca/job-listing/j?jl=1010046334967,Software Engineer,Andec Mfg. Ltd.,Toronto,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://www.glassdoor.ca/job-listing/j?jl=1010046268206,Software Developer III - Java,"GTT, LLC",Toronto,glassdoor,2026-02-27,2026-02-27T11:11:10.842694,,Error,,,,
https://ca.indeed.com/viewjob?jk=5d1d7a2c60f9e717,Machine Learning Engineer with an Agentic focus,High 5 Games,"Remote, CA",indeed,2026-02-26,2026-02-27T11:11:10.842694,,Ready to Apply,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\High_5_Games_Machine_Learning_Engineer_with_an_Agentic_focus_20260227_1121\resume.tex,C:\Users\Bankole Temitope\Desktop\Projects\jobhunt\output\High_5_Games_Machine_Learning_Engineer_with_an_Agentic_focus_20260227_1121\cover_letter.pdf,,
